Origin,Dest,Distance
DTW,ABE,425
BFL,PHX,425
ATL,MSY,425
CLE,JFK,425
JFK,CLE,425
ABE,DTW,425
AZO,MSP,426
MSP,AZO,426
GSP,BWI,426
BWI,GSP,426
TUL,AUS,426
CLT,IND,427
RDU,JFK,427
IAH,MOB,427
MOB,IAH,427
IND,CLT,427
JFK,RDU,427
IAH,TUL,429
TUL,IAH,429
IAH,MAF,429
MAF,IAH,429
BWI,CVG,430
DTW,CID,430
CLT,CLE,430
CID,DTW,430
CLE,CLT,430
CVG,BWI,430
LGA,RDU,431
RDU,LGA,431
DFW,MHK,431
MHK,DFW,431
MEM,DFW,431.2162447257384
DFW,MEM,431.2164730728617
DAY,ATL,432
IND,ATL,432
ATL,DAY,432
ATL,IND,432
ATL,EWN,433
EWN,ATL,433
ROW,DFW,435
DFW,ROW,435
MCI,MKE,436
MSO,SLC,436
MKE,MCI,436
DAL,MSY,436
ORD,SUX,436
SLC,MSO,436
MSY,DAL,436
SUX,ORD,436
GJT,PHX,438
PHX,GJT,438
ORD,SGF,438
XNA,IAH,438
IAH,XNA,438
SGF,ORD,438
CHS,BNA,439
BNA,CHS,439
DTW,STL,440
STL,DTW,440
IAD,BTV,441
HOU,MAF,441
CHS,IAD,441
BTV,IAD,441
IAD,CHS,441
MAF,HOU,441
BNA,RDU,442
RDU,BNA,442
MLB,ATL,442
ATL,MLB,442
TYS,DTW,443
DTW,TYS,443
ATL,SRQ,444
DCA,CHS,444
AUS,MSY,444
CHS,DCA,444
MSY,AUS,444
SRQ,ATL,444
GSO,EWR,445
EWR,GSO,445
OAK,SAN,446
SAN,OAK,446
DFW,MSY,447
SAN,SFO,447
ATL,CMH,447
MSY,DFW,447
SFO,SAN,447
CMH,ATL,447
BNA,CLE,448
BTR,ATL,448
STL,MSP,448
MLU,ATL,448
MSP,STL,448
ATL,MLU,448
CLE,BNA,448
ATL,BTR,448
MSP,MOT,449
MOT,MSP,449
CLT,PHL,449
PHL,CLT,449
EUG,SFO,451
IAD,SDF,451
SFO,EUG,451
IND,MCI,451
MCI,IND,451
LAX,TUS,451
TUS,LAX,451
SDF,IAD,451
BWI,PWM,452
FNT,BWI,452
PWM,BWI,452
BWI,FNT,452
DTW,PHL,453
TUL,HOU,453
HOU,TUL,453
LIT,ATL,453
PHL,DTW,453
ATL,LIT,453
MSP,LAN,455
PHX,SBA,455
DEN,BIL,455
SBA,PHX,455
LAN,MSP,455
BIL,DEN,455
LBB,DEN,456
DEN,LBB,456
DTW,BNA,456
RIC,DTW,456
LBE,MYR,456
MYR,LBE,456
BNA,DTW,456
DTW,RIC,456
CHO,ATL,457
ATL,CHO,457
LBB,IAH,458
IAH,LBB,458
IDA,DEN,458
DEN,IDA,458
BHM,TPA,459
LBE,ORD,459
ORD,LBE,459
TPA,BHM,459
MCI,DAL,460
GSO,DTW,460
MCI,DFW,460
DFW,MCI,460
DTW,GSO,460
DAL,MCI,460
LGA,GSO,461
GSO,LGA,461
SLC,LWS,461
LWS,SLC,461
OKC,STL,462
STL,OKC,462
BNA,PIT,462
SFO,RDM,462
PIT,BNA,462
FSD,ORD,462
RDM,SFO,462
PIB,DFW,462
ORD,FSD,462
EWR,CMH,463
SLC,GTF,463
CMH,EWR,463
MBS,MSP,463
MSP,MBS,463
GTF,SLC,463
DTW,TTN,464
TTN,DTW,464
ACY,MYR,466
ORD,LNK,466
LNK,ORD,466
MYR,ACY,466
CLT,MCO,468
MCO,CLT,468
MDW,BUF,468
MEM,IAH,468
IAH,MEM,468
BUF,MDW,468
MFE,DFW,469
DFW,MFE,469
CHS,FLL,470
FLL,CHS,470
MSY,BNA,471
BNA,MSY,471
DEN,OMA,472
BWI,CHS,472
OMA,DEN,472
CHS,BWI,472
PHL,MYR,473
MYR,PHL,473
ORD,BUF,473.29543419874665
BUF,ORD,473.3005319148936
RIC,BOS,474
SDF,DCA,474
LBB,HOU,474
HOU,LBB,474
DCA,SDF,474
BOS,RIC,474
ORD,TYS,475
TYS,ORD,475
IND,IAD,476
BDL,CLE,476
IAD,IND,476
CLE,BDL,476
RST,DTW,477
DTW,RST,477
SMF,PDX,479
BHM,MCO,479
LGA,CMH,479
DTW,SWF,479
PDX,SMF,479
CMH,LGA,479
MCO,BHM,479
SWF,DTW,479
MDW,MEM,480
MEM,MDW,480
SAN,SMF,480
SMF,SAN,480
DIK,MSP,481
RIC,ATL,481
MSP,DIK,481
ATL,RIC,481
BRO,DFW,482
PWM,DCA,482
DFW,BRO,482
FSD,LAR,482
DCA,PWM,482
CMH,JFK,483
DEN,FSD,483
FSD,DEN,483
JFK,CMH,483
JAX,BNA,483
BNA,JAX,483
TTN,CLT,484
MEM,HOU,484
HOU,MEM,484
ATL,STL,484
CLT,TTN,484
STL,ATL,484
MEI,DFW,485
DFW,MEI,485
LAS,ABQ,486
ABQ,LAS,486
STL,CLE,487
CLE,STL,487
SAN,RNO,488
MSY,TPA,488
DTW,EWR,488
EWR,DTW,488
MSP,FWA,488
DEN,DIK,488
PNS,HOU,488
RNO,SAN,488
DIK,DEN,488
HOU,PNS,488
TPA,MSY,488
FWA,MSP,488
MIA,CHS,489
DTW,ALB,489
IND,RDU,489
ALB,DTW,489
CHS,MIA,489
RAP,MSP,489
COU,DFW,489
RDU,IND,489
DFW,COU,489
PNS,IAH,489
MSP,RAP,489
IAH,PNS,489
MEM,ORD,491
MSP,FNT,491
FNT,MSP,491
BNA,MCI,491
ORD,MEM,491
MCI,BNA,491
SLC,ABQ,493
ABQ,SLC,493
FAT,PHX,493
PHX,FAT,493
MSY,SAT,494
SAT,MSY,494
BWI,SDF,495
SDF,BWI,495
DEN,OKC,495
OKC,DEN,495
PIT,BOS,496
BOS,PIT,496
ELP,SAT,496
SAT,ELP,496
DTW,ACY,497
ACY,DTW,497
ATL,AEX,500
CLT,DTW,500
LGA,ILM,500
ILM,LGA,500
DTW,CLT,500
GPT,DFW,500
DCA,IND,500
DFW,GPT,500
AEX,ATL,500
IND,DCA,500
ORD,MHK,501
ORD,CHA,501
FAT,SLC,501
CHA,ORD,501
IAD,GRR,501
SLC,FAT,501
IAH,HOB,501
RDU,DTW,501
HOB,IAH,501
DTW,RDU,501
MHK,ORD,501
LGA,DTW,502
DTW,LGA,502
IND,MSP,503
LFT,ATL,503
BRW,FAI,503
ATL,LFT,503
MSP,IND,503
CHA,DTW,505
DTW,HPN,505
DTW,CHA,505
HPN,DTW,505
SLC,PHX,507
CLT,TPA,507
PHX,SLC,507
TPA,CLT,507
RAP,SLC,508
SLC,RAP,508
PHF,ATL,508
GSP,DTW,508
DTW,GSP,508
ATL,FWA,508
ATL,PHF,508
FWA,ATL,508
SBP,PHX,509
PHX,SBP,509
DTW,JFK,509
JFK,DTW,509
HSV,ORD,510
ORD,HSV,510
MEM,CLT,511
CLT,MEM,511
OAK,BOI,511.75138888888887
BOI,OAK,511.75173370319004
RSW,ATL,515
IAD,SAV,515
ATL,RSW,515
SAV,IAD,515
BIS,DEN,516
BWI,IND,516
ORF,ATL,516
ATL,ORF,516
IND,BWI,516
DEN,BIS,516
SGU,DEN,517
DEN,SGU,517
IAH,AMA,517
AMA,IAH,517
LAS,BOI,519
BOI,LAS,519
PSC,SLC,521
SLC,PSC,521
SFO,BOI,522
ORD,XNA,522
XNA,ORD,522
BOI,SFO,522
ROC,MDW,523
MDW,ROC,523
BZN,DEN,524
DEN,BZN,524
SLC,RDM,525
RDM,SLC,525
ATL,PIT,526
PIT,ATL,526
AUS,ELP,528
CAK,ATL,528
BWI,GRR,528
MSP,DTW,528
ATL,CAK,528
ELP,AUS,528
DTW,MSP,528
VPS,IAH,528
GRR,BWI,528
SCE,ORD,528
IAH,VPS,528
ORD,SCE,528
ROC,ORD,528
ORD,ROC,528
ORF,DTW,529
MYR,FLL,529
CLT,EWR,529
DTW,ORF,529
EWR,CLT,529
FLL,MYR,529
PNS,MIA,530
MIA,PNS,530
ORD,ROA,531
ROA,ORD,531
FCA,SLC,531
SLC,FCA,531
BDL,RDU,532
SLC,SMF,532
TTN,CVG,532
CVG,TTN,532
SMF,SLC,532
RDU,BDL,532
MCI,DEN,533
EWR,DAY,533
BMI,ATL,533
ATL,BMI,533
DAY,EWR,533
DEN,MCI,533
DSM,DTW,533.7830687830688
DTW,DSM,533.8153153153153
IAD,ATL,534
MCO,RDU,534
RDU,MCO,534
ATL,IAD,534
MCI,DLH,536
AVL,ORD,536
ORD,AVL,536
DTW,BTV,537
BTV,DTW,537
MCI,CVG,539
ANC,OME,539
MOB,DFW,539
OME,ANC,539
DFW,MOB,539
CVG,MCI,539
TUL,DEN,541
SLC,PSP,541
JFK,CLT,541
CLT,JFK,541
DEN,TUL,541
PSP,SLC,541
ICT,IAH,542
BNA,IAD,542
GRK,MEI,542
IAD,BNA,542
IAH,ICT,542
SEA,BZN,543
OAK,PDX,543
PDX,OAK,543
BZN,SEA,543
MDW,LIT,544
LIT,MDW,544
LGA,CLT,544
CLT,LGA,544
PBI,ATL,545
MSP,ICT,545
ATL,PBI,545
ICT,MSP,545
MSP,ISN,546
ISN,MSP,546
DAL,STL,546
GEG,SLC,546
BUF,CLT,546
SLC,GEG,546
CLT,BUF,546
STL,DAL,546
DCA,ATL,547
ATL,DCA,547
ANC,OTZ,548
OTZ,ANC,548
LGA,DAY,549
BDL,DTW,549
DAY,LGA,549
BOS,CAK,549
CAK,BOS,549
DTW,BDL,549
PDX,SFO,550
EWR,MYR,550
DFW,STL,550
PHL,CHS,550
MYR,EWR,550
SFO,PDX,550
CHS,PHL,550
STL,DFW,550
SHV,ATL,551
DFW,SAF,551
ELP,DFW,551
ATL,SHV,551
MSY,MCO,551
MCO,MSY,551
DFW,ELP,551
SAF,DFW,551
ORD,LIT,552
LIT,ORD,552
BZN,PDX,554
CLE,ATL,554
DTW,HSV,554
PDX,BZN,554
ATL,CLE,554
HSV,DTW,554
CLE,MYR,557
MYR,CLE,557
ORD,FAR,557
SUN,DEN,557
FAR,ORD,557
DEN,SUN,557
ONT,SLC,558
SLC,ONT,558
MEM,AUS,559
AUS,MEM,559
DFW,GRI,561
GRI,DFW,561
MDW,GSP,562
ELP,DAL,562
XNA,CVG,562
IAH,BHM,562
CVG,XNA,562
DAL,ELP,562
GSP,MDW,562
BHM,IAH,562
DCA,BNA,562
BNA,DCA,562
MAF,DEN,563
SGF,ATL,563
CLE,BOS,563
MYR,LGA,563
DEN,MAF,563
BOS,CLE,563
DEN,ELP,563
LGA,MYR,563
ATL,SGF,563
ELP,DEN,563
PIA,ATL,565
ATL,PIA,565
ELM,ORD,566
ORD,ELM,566
ATL,SBN,566
SBN,ATL,566
ORD,CHO,566.7162162162163
CHO,ORD,566.7162162162163
SJC,PDX,569
CVG,EWR,569
RST,CLE,569
PDX,SJC,569
EWR,CVG,569
DFW,ABQ,569
ABQ,DFW,569
MDW,BHM,570
BHM,HOU,570
HOU,BHM,570
BHM,MDW,570
ANC,JNU,571
HOU,ECP,571
ECP,HOU,571
JNU,ANC,571
IAH,ECP,572
ECP,IAH,572
CLT,ROC,573
DEN,JMS,573
ROC,CLT,573
JMS,DEN,573
MSP,DAY,574
SLC,BUR,574
DAY,MSP,574
BUR,SLC,574
CLT,STL,575
STL,CLT,575
SLC,MFR,575
MFR,SLC,575
DEN,ISN,576
ISN,DEN,576
JAN,PIA,576
IAD,MDW,577
BWI,ATL,577
MDW,IAD,577
ATL,BWI,577
GSP,ORD,577.692225772098
ORD,GSP,577.6962962962963
FSM,ATL,579
ATL,FSM,579
DAL,ABQ,580
ABQ,DAL,580
FLL,ATL,581
ATL,FLL,581
ELP,LAS,583
EWR,AVL,583
DFW,OMA,583
TUL,MDW,583
MDW,TUL,583
LAS,ELP,583
AVL,EWR,583
OMA,DFW,583
ORD,BHM,584
MDW,CLT,584
CLT,MDW,584
SJC,SLC,584
SLC,SJC,584
BHM,ORD,584
LGA,CVG,585
ORD,TUL,585
CVG,LGA,585
OMA,DAL,585
DAL,OMA,585
TUL,ORD,585
BNA,BWI,587
BHM,DAL,587
SUN,SFO,587
DAL,BHM,587
RDU,TPA,587
TPA,RDU,587
SFO,SUN,587
BWI,BNA,587
PHL,IND,588
LGB,SLC,588
SLC,OAK,588
OAK,SLC,588
ICT,ORD,588
SLC,LGB,588
SLC,SNA,588
SNA,SLC,588
ORD,ICT,588
IND,PHL,588
ORD,IAD,588.7860861334595
IAD,ORD,588.7979957805907
GSO,ORD,589
CVG,JFK,589
ICT,MDW,589
XNA,ATL,589
ATL,XNA,589
DEN,DSM,589
JFK,CVG,589
DSM,DEN,589
MDW,ICT,589
ORD,GSO,589
CLT,PBI,590
SLC,LAX,590
LAX,SLC,590
PBI,CLT,590
MDW,ATL,591
ATL,MDW,591
CHS,ABE,592
COS,DFW,592
DFW,COS,592
MIA,ATL,594
DEN,HLN,594
ATL,MIA,594
ATL,DTW,594
DTW,ATL,594
GSP,EWR,594
EWR,GSP,594
ORD,MDT,594
MDT,ORD,594
HLN,DEN,594
CHS,CLE,595
CLE,CHS,595
HSV,IAH,595
IAH,HSV,595
HSV,IAD,596
XNA,MSP,596
AZO,ATL,596
MSP,CVG,596
IAD,HSV,596
MSP,XNA,596
ATL,AZO,596
CVG,MSP,596
DFW,BHM,597
BHM,DFW,597
MRY,PHX,598
PHX,MRY,598
ORD,CLT,599
CLT,ORD,599
SFO,SLC,599
SLC,SFO,599
RSW,CLT,600
CLT,RSW,600
PHX,RNO,601
RNO,PHX,601
TUS,SLC,601
DCA,MDW,601
MDW,DCA,601
SLC,TUS,601
PHX,DEN,602
DEN,PHX,602
CLT,SYR,603
SYR,CLT,603
DFW,HSV,603
HSV,DFW,603
DFW,PNS,604
LEX,LGA,604
LGA,LEX,604
MSY,STL,604
PNS,DFW,604
MSP,SDF,604
SDF,MSP,604
MOT,DEN,604
STL,MSY,604
DEN,MOT,604
GRR,EWR,605
SEA,SMF,605
EWR,GRR,605
SMF,SEA,605
ATL,ORD,606
ORD,ATL,606
SYR,ORD,607
ORD,SYR,607
GSP,LGA,610
DTW,MHT,610
MHT,DTW,610
TTN,IND,610
DTW,MEM,610
LGA,GSP,610
MEM,DTW,610
IND,TTN,610
BWI,MDW,611
MDW,BWI,611
DCA,ORD,612
ORD,DCA,612
TPA,BNA,612
BOS,RDU,612
BNA,TPA,612
RDU,BOS,612
DCA,HSV,613
HSV,DCA,613
MSP,TUL,615
TUL,MSP,615
ATL,SCE,615
SCE,ATL,615
PVD,DTW,615
DTW,PVD,615
MCO,BNA,616
XNA,DEN,616
DEN,XNA,616
BNA,MCO,616
CAE,LGA,617
LGA,CAE,617
SLC,EUG,618
GRR,LGA,618
EUG,SLC,618
LGA,GRR,618
PSC,SFO,620
ATL,MDT,620
SFO,PSC,620
MDT,ATL,620
SEA,JAC,621
JAC,SEA,621
SJC,PHX,621
PHX,SJC,621
BWI,ORD,622
ORD,BWI,622
CLE,MSP,622
MSP,CLE,622
MGM,DFW,622
DFW,MGM,622
BNA,DAL,623
DAL,BNA,623
DEN,GTF,624
DFW,DSM,624
GTF,DEN,624
DSM,DFW,624
BHM,DTW,625
DTW,BHM,625
FAT,PDX,626
MSP,CMH,626
SLC,SAN,626
CMH,MSP,626
SAN,SLC,626
PDX,FAT,626
FAR,DEN,627
ANC,SCC,627
SCC,ANC,627
DEN,FAR,627
EWR,CHS,628
DEN,LAS,628
LAS,DEN,628
ABQ,SAN,628
SAN,ABQ,628
CHS,EWR,628
DTW,MCI,629
MCI,DTW,629
IAD,JAX,630
SPI,DFW,630
PDX,SLC,630
DFW,SPI,630
SLC,PDX,630
JAX,IAD,630
DFW,BNA,631
LAN,ATL,631
ATL,LAN,631
EWR,TYS,631
TYS,EWR,631
BNA,DFW,631
CLT,FLL,631.7354158825743
FLL,CLT,631.7355154251317
RDU,MDW,632
BOS,DTW,632
ORD,AVP,632
DTW,BOS,632
AVP,ORD,632
MDW,RDU,632
MLI,ATL,633
ATL,MLI,633
STL,ECP,634
MKE,DCA,634
DCA,JAX,634
JAX,DCA,634
ECP,STL,634
DCA,MKE,634
CHS,JFK,636
MYR,DTW,636
DTW,MYR,636
JFK,CHS,636
GSP,MIA,637
DEN,SGF,637
MIA,GSP,637
SGF,DEN,637
EWR,SBN,637
SBN,EWR,637
DVL,DEN,638
TUS,DEN,639
DEN,TUS,639
BOS,CMH,640
ATL,GRR,640
CMH,BOS,640
GRR,ATL,640
DFW,VPS,641
DFW,DEN,641
BWI,MKE,641
MKE,BWI,641
VPS,DFW,641
LGA,CHS,641
DEN,DFW,641
CHS,LGA,641
SDF,EWR,642
EWR,SDF,642
DFW,EVV,642
RIC,ORD,642
EVV,DFW,642
ORD,RIC,642
MCI,IAH,643
IAH,MCI,643
CLT,BDL,644
TVC,EWR,644
BDL,CLT,644
EWR,TVC,644
EWR,IND,645
FNT,ATL,645
IND,EWR,645
ATL,FNT,645
CLT,ALB,646
ATL,EYW,646
ALB,CLT,646
EYW,ATL,646
RDU,ORD,646
ORD,RDU,646
PHX,OAK,646
OAK,PHX,646
SMF,PHX,647
TYS,LGA,647
LGA,TYS,647
PHX,SMF,647
DEN,BOI,649
BOI,DEN,649
CLT,MIA,650
MYR,IAG,650
IAG,MYR,650
MIA,CLT,650
MCI,AUS,650
MSP,LEX,650
LEX,MSP,650
DAL,DEN,651
MSY,CLT,651
DEN,DAL,651
CLT,MSY,651
SFO,PHX,651
DTW,OMA,651
PHX,SFO,651
OMA,DTW,651
ORD,ABE,654.2735849056604
ABE,ORD,654.2739541160594
MCO,ORF,655
TVC,LGA,655
ORF,MCO,655
LGA,TVC,655
TPA,MEM,655
MEM,TPA,655
BNA,IAH,657
IAH,BNA,657
IAD,UST,658
UST,IAD,658
LGA,SDF,659
SDF,LGA,659
LGA,IND,660
IND,LGA,660
CVG,BDL,661
BHM,MIA,661
BDL,CVG,661
MIA,BHM,661
JAX,BWI,663
BWI,JAX,663
SEA,BIL,664
BIL,SEA,664
IND,JFK,665
JFK,IND,665
PHL,ATL,666
MCI,HOU,666
HOU,MCI,666
ATL,PHL,666
MTJ,LAX,666
LAX,MTJ,666
CAE,ORD,666.7411944869832
ORD,CAE,666.7423312883435
MCO,RIC,667
IAH,ELP,667
ELP,IAH,667
DTW,CHS,667
RDU,STL,667
IAH,STL,667
STL,IAH,667
CHS,DTW,667
RIC,MCO,667
STL,RDU,667
PWM,DTW,668
MDW,PHL,668
DTW,PWM,668
PHL,MDW,668
MKE,ATL,669
ATL,MKE,669
HOU,BNA,670
BNA,HOU,670
OAK,SEA,671.778247393632
SEA,OAK,671.7787759685569
DFW,PIA,672
PIA,DFW,672
ECP,DAL,674
ATL,TUL,674
FLL,MSY,674
LAX,BOI,674
DRO,DFW,674
DAL,ECP,674
BOI,LAX,674
MSY,FLL,674
TUL,ATL,674
DFW,DRO,674
PHL,BNA,675
BNA,PHL,675
MIA,MSY,675
MSY,MIA,675
ELP,HOU,677
HOU,ELP,677
ORD,JAN,677
JAN,ORD,677
LAX,ABQ,677
ABQ,LAX,677
ORD,PHL,678
GUC,DFW,678
LGA,AGS,678
PHL,ORD,678
DFW,GUC,678
AGS,LGA,678
SFO,SEA,679
SEA,SFO,679
ATL,ACY,679
DEN,MSO,679
MSO,DEN,679
ACY,ATL,679
KTN,SEA,680
DEN,MSP,680
RDU,FLL,680
FLL,RDU,680
SEA,KTN,680
MSP,DEN,680
BWI,BHM,682
BHM,BWI,682
TTN,MDW,683
ATL,MBS,683
CLT,PVD,683
MDW,TTN,683
MBS,ATL,683
PVD,CLT,683
MCO,MEM,684
MEM,MCO,684
IAD,MSN,684
DFW,CID,685
CID,DFW,685
STL,HOU,687
HOU,STL,687
SEA,SLC,689
ATL,IAH,689
MSY,MCI,689
IAH,ATL,689
SLC,SEA,689
MCI,MSY,689
BMI,DFW,690
DFW,BMI,690
OKC,MDW,691
MDW,OKC,691
DFW,MLI,691
MLI,DFW,691
ATL,ABE,692
ATL,MCI,692
ABE,ATL,692
MCI,ATL,692
CID,DEN,692
DEN,CID,692
DFW,CMI,692.2479338842975
CMI,DFW,692.2479338842975
OKC,ORD,693
ORD,TTN,693
TTN,ORD,693
ORD,OKC,693
ATL,CID,694
MSP,OKC,694
OKC,MSP,694
CID,ATL,694
DFW,CHA,695
MSP,BNA,695
CHA,DFW,695
BNA,MSP,695
IAD,STL,696
HOU,ATL,696
ATL,HOU,696
STL,IAD,696
SEA,SJC,697
SJC,SEA,697
RDU,MIA,700
MEM,MSP,700
MIA,RDU,700
MSP,MEM,700
TTN,MKE,701
ASE,DFW,701
TTN,ATL,701
MKE,TTN,701
DFW,ASE,701
ATL,TTN,701
MDW,ORF,704
ORF,MDW,704
DTW,LIT,705
LIT,DTW,705
SAV,DTW,705
DTW,SAV,705
BNA,TTN,706
TTN,BNA,706
MSN,ATL,707
ATL,MSN,707
CLT,SGF,708
EWR,SAV,708
SGF,CLT,708
SAV,EWR,708
SAF,LAX,710
LAX,SAF,710
GSO,MIA,710
MIA,GSO,710
MDW,EWR,711
EWR,MDW,711
ATL,BUF,712
BUF,ATL,712
ATL,AVP,714
AVP,ATL,714
ELP,LAX,715
LAX,ELP,715
ORD,BIS,716
BIS,ORD,716
ELM,ATL,717
MDW,ALB,717
ORD,ORF,717
TPA,ORF,717
ALB,MDW,717
ORF,ORD,717
ATL,ELM,717
ORF,TPA,717
JFK,SAV,718
MCI,ABQ,718
ABQ,MCI,718
SAV,JFK,718
STL,DCA,719
DCA,STL,719
EWR,ORD,719
ORD,EWR,719
MCO,SDF,719
SDF,MCO,719
ACY,ORD,720
ORD,ACY,720
EGE,DFW,721
DFW,EGE,721
STL,AUS,721
ATL,DAL,721
AUS,STL,721
DAL,ATL,721
LGA,SAV,722
DFW,MTJ,722
SAV,LGA,722
RSW,BNA,722
MTJ,DFW,722
BNA,RSW,722
ALB,ORD,723
OAK,GEG,723
ORD,ALB,723
GEG,OAK,723
ANC,BRW,725
BRW,ANC,725
MDW,LGA,725
MKE,EWR,725
LGA,MDW,725
EWR,MKE,725
LAX,RDM,726
RDM,LAX,726
MSP,PIT,726
PIT,MSP,726
TPA,SDF,727
SDF,TPA,727
CLT,BOS,728
BOS,CLT,728
DFW,ATL,731
ATL,DFW,731
DFW,SDF,733
ORD,LGA,733
SDF,DFW,733
LGA,ORD,733
BUF,MSP,735
PHX,BOI,735
MSP,BUF,735
BOI,PHX,735
LAX,ASE,737
ASE,LAX,737
SFO,JAC,737
DFW,FSD,737
FSD,DFW,737
JAC,SFO,737
STL,BWI,738
LGA,MKE,738
ORD,HPN,738
MYR,BOS,738
BOS,MYR,738
MKE,LGA,738
BWI,STL,738
HPN,ORD,738
JFK,ORD,740
ORD,JFK,740
PHL,JAX,742
IAD,MEM,742
JAX,PHL,742
MEM,IAD,742
ATL,DSM,743
DSM,ATL,743
IAH,ABQ,744
ABQ,IAH,744
MDW,CHS,745
CHS,MDW,745
EWR,ATL,746
ATL,EWR,746
LAX,EGE,748
EUG,LAX,748
LAX,EUG,748
EWR,BNA,748
BNA,EWR,748
SEA,FAT,748
BIL,MSP,748
MSP,BIL,748
EGE,LAX,748
FAT,SEA,748
ATL,ROC,749
SAN,BOI,749
ROC,ATL,749
BOI,SAN,749
BGR,DTW,750
DTW,BGR,750
SFO,TUS,751
TUS,SFO,751
BOS,CVG,752
DEN,MLI,752
FCA,DEN,752
DEN,FCA,752
MLI,DEN,752
CVG,BOS,752
ORD,MYR,753
MYR,ORD,753
IND,DAL,755
DAL,IND,755
AUS,BNA,756
BNA,AUS,756
CVG,MCO,757
MCO,CVG,757
AMA,LAS,758
MCO,IAD,758
IAD,MCO,758
LAS,AMA,758
ABQ,HOU,759
DCA,MCO,759
HOU,ABQ,759
MCO,DCA,759
ATL,JFK,760
JFK,ATL,760
ORD,CHS,760
CHS,ORD,760
DFW,IND,761
IND,DFW,761
OKC,ATL,761
ATL,OKC,761
ATL,LGA,762
LGA,ATL,762
